chr	start	stop	extra
1	65419	71585	"gene_id ""OR4F5""; transcript_id """"; db_xref ""GeneID:79501""; db_xref ""HGNC:HGNC:14825""; description ""olfactory receptor family 4 subfamily F member 5""; gbkey ""Gene""; gene ""OR4F5""; gene_biotype ""protein_coding""; "
1	450740	451678	"gene_id ""OR4F29""; transcript_id """"; db_xref ""GeneID:729759""; db_xref ""HGNC:HGNC:31275""; description ""olfactory receptor family 4 subfamily F member 29""; gbkey ""Gene""; gene ""OR4F29""; gene_biotype ""protein_coding""; gene_synonym ""OR7-21""; "
1	923923	944574	"gene_id ""SAMD11""; transcript_id """"; db_xref ""GeneID:148398""; db_xref ""HGNC:HGNC:28706""; db_xref ""MIM:616765""; description ""sterile alpha motif domain containing 11""; gbkey ""Gene""; gene ""SAMD11""; gene_biotype ""protein_coding""; gene_synonym ""MRS""; "
1	944203	959256	"gene_id ""NOC2L""; transcript_id """"; db_xref ""GeneID:26155""; db_xref ""HGNC:HGNC:24517""; db_xref ""MIM:610770""; description ""NOC2 like nucleolar associated transcriptional repressor""; gbkey ""Gene""; gene ""NOC2L""; gene_biotype ""protein_coding""; gene_synonym ""NET15""; gene_synonym ""NET7""; gene_synonym ""NIR""; gene_synonym ""PPP1R112""; "
1	975198	982093	"gene_id ""PERM1""; transcript_id """"; db_xref ""GeneID:84808""; db_xref ""HGNC:HGNC:28208""; db_xref ""MIM:615921""; description ""PPARGC1 and ESRR induced regulator, muscle 1""; gbkey ""Gene""; gene ""PERM1""; gene_biotype ""protein_coding""; gene_synonym ""C1orf170""; "
1	1013497	1014540	"gene_id ""ISG15""; transcript_id """"; db_xref ""GeneID:9636""; db_xref ""HGNC:HGNC:4053""; db_xref ""MIM:147571""; description ""ISG15 ubiquitin like modifier""; gbkey ""Gene""; gene ""ISG15""; gene_biotype ""protein_coding""; gene_synonym ""G1P2""; gene_synonym ""hUCRP""; gene_synonym ""IFI15""; gene_synonym ""IMD38""; gene_synonym ""IP17""; gene_synonym ""UCRP""; "
1	1070967	1074306	"gene_id ""RNF223""; transcript_id """"; db_xref ""GeneID:401934""; db_xref ""HGNC:HGNC:40020""; description ""ring finger protein 223""; gbkey ""Gene""; gene ""RNF223""; gene_biotype ""protein_coding""; "
1	1081823	1116089	"gene_id ""C1orf159""; transcript_id """"; db_xref ""GeneID:54991""; db_xref ""HGNC:HGNC:26062""; description ""chromosome 1 open reading frame 159""; gbkey ""Gene""; gene ""C1orf159""; gene_biotype ""protein_coding""; "
1	1232237	1235041	"gene_id ""B3GALT6""; transcript_id """"; db_xref ""GeneID:126792""; db_xref ""HGNC:HGNC:17978""; db_xref ""MIM:615291""; description ""beta-1,3-galactosyltransferase 6""; gbkey ""Gene""; gene ""B3GALT6""; gene_biotype ""protein_coding""; gene_synonym ""ALGAZ""; gene_synonym ""beta3GalT6""; gene_synonym ""EDSP2""; gene_synonym ""EDSSPD2""; gene_synonym ""SEMDJL1""; "
1	1280436	1292025	"gene_id ""SCNN1D""; transcript_id """"; db_xref ""GeneID:6339""; db_xref ""HGNC:HGNC:10601""; db_xref ""MIM:601328""; description ""sodium channel epithelial 1 subunit delta""; gbkey ""Gene""; gene ""SCNN1D""; gene_biotype ""protein_coding""; gene_synonym ""dNaCh""; gene_synonym ""ENaCd""; gene_synonym ""ENaCdelta""; gene_synonym ""SCNED""; "
1	1304729	1304812	"gene_id ""SNORD167""; transcript_id """"; db_xref ""GeneID:109623456""; db_xref ""HGNC:HGNC:51881""; description ""small nucleolar RNA, C/D box 167""; gbkey ""Gene""; gene ""SNORD167""; gene_biotype ""snoRNA""; "
1	1373736	1375207	"gene_id ""AURKAIP1""; transcript_id """"; db_xref ""GeneID:54998""; db_xref ""HGNC:HGNC:24114""; db_xref ""MIM:609183""; description ""aurora kinase A interacting protein 1""; gbkey ""Gene""; gene ""AURKAIP1""; gene_biotype ""protein_coding""; gene_synonym ""AIP""; gene_synonym ""AKIP""; gene_synonym ""MRP-S38""; "
1	1401909	1407293	"gene_id ""MRPL20""; transcript_id """"; db_xref ""GeneID:55052""; db_xref ""HGNC:HGNC:14478""; db_xref ""MIM:611833""; description ""mitochondrial ribosomal protein L20""; gbkey ""Gene""; gene ""MRPL20""; gene_biotype ""protein_coding""; gene_synonym ""L20mt""; gene_synonym ""MRP-L20""; "
1	1425871	1430255	"gene_id ""TMEM88B""; transcript_id """"; db_xref ""GeneID:643965""; db_xref ""HGNC:HGNC:37099""; description ""transmembrane protein 88B""; gbkey ""Gene""; gene ""TMEM88B""; gene_biotype ""protein_coding""; "
1	1435690	1442882	"gene_id ""VWA1""; transcript_id """"; db_xref ""GeneID:64856""; db_xref ""HGNC:HGNC:30910""; db_xref ""MIM:611901""; description ""von Willebrand factor A domain containing 1""; gbkey ""Gene""; gene ""VWA1""; gene_biotype ""protein_coding""; gene_synonym ""HMNMYO""; gene_synonym ""WARP""; "
1	1449689	1470163	"gene_id ""ATAD3C""; transcript_id """"; db_xref ""GeneID:219293""; db_xref ""HGNC:HGNC:32151""; db_xref ""MIM:617227""; description ""ATPase family AAA domain containing 3C""; gbkey ""Gene""; gene ""ATAD3C""; gene_biotype ""protein_coding""; "
1	1534778	1540624	"gene_id ""TMEM240""; transcript_id """"; db_xref ""GeneID:339453""; db_xref ""HGNC:HGNC:25186""; db_xref ""MIM:616101""; description ""transmembrane protein 240""; gbkey ""Gene""; gene ""TMEM240""; gene_biotype ""protein_coding""; gene_synonym ""C1orf70""; gene_synonym ""SCA21""; "
